"","OTU","Phylum","Class","Order","Family","Subfamily","Genus","Species","Taxon Similarity","Sequences","Dereplicates","PreClusters","Dereplication Reduction (%)","Preclustering Reduction (%)","Length","GC Composition","MID","name"
"118","OTU37","Arthropoda","Insecta","Lepidoptera","Erebidae","Calpinae","Goniohelia","Goniohelia pangraptica",97.81,16,1,1,93.75,0,458,30.57,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"119","OTU39","Arthropoda","Insecta","Coleoptera","Tenebrionidae",NA,NA,NA,91.65,15,2,2,86.67,0,458,44.98,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"120","OTU40","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA,NA,92.32,15,2,2,86.67,0,457.4,27.85,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"121","OTU43","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctuinae","Spodoptera","Spodoptera pulchella",94.53,14,2,2,85.71,0,456.36,30.68,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"122","OTU42","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontiinae","Chalenata","Chalenata Poole01",96.49,14,1,1,92.86,0,458,31.22,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"123","OTU41","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,92.76,14,1,1,92.86,0,458,36.9,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"124","OTU44","Arthropoda","Insecta","Lepidoptera","Erebidae","Boletobiinae","Prosoparia","Prosoparia tenebrosa",90.81,13,2,2,84.62,0,457.54,38.03,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"125","OTU46",NA,NA,NA,NA,NA,NA,NA,0,12,2,1,83.33,50,458,37.55,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"126","OTU45","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA,NA,97.14,12,1,1,91.67,0,458,31.88,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"127","OTU48",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,458,31.66,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"128","OTU47",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,458,33.19,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"129","OTU50","Arthropoda","Insecta","Coleoptera","Tenebrionidae",NA,NA,NA,92.09,10,1,1,90,0,458,44.54,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"130","OTU49","Arthropoda","Insecta","Lepidoptera","Nepticulidae",NA,NA,NA,97.35,10,1,1,90,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"131","OTU51","Arthropoda","Insecta","Diptera","Phoridae","Metopininae","Nothomicrodon","Nothomicrodon sp. 1 GS-2016",90.81,9,1,1,88.89,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"132","OTU52",NA,NA,NA,NA,NA,NA,NA,0,9,1,1,88.89,0,458,34.06,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"133","OTU53","Arthropoda","Insecta","Lepidoptera","Tineidae",NA,NA,NA,95.38,9,1,1,88.89,0,458,31,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"134","OTU54","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,95.81,8,1,1,87.5,0,458,40.61,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"135","OTU56","Arthropoda","Insecta","Lepidoptera","Limacodidae","Limacodinae","Natada","Natada kokiiDHJ01",97.81,8,1,1,87.5,0,458,32.1,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"136","OTU57","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontiinae","Nanamonodes","Nanamonodes sp.",93.65,8,1,1,87.5,0,458,30.35,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"137","OTU55","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA,NA,90.11,8,1,1,87.5,0,458,27.07,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"138","OTU60","Arthropoda","Insecta","Hemiptera","Delphacidae",NA,NA,NA,94.74,8,1,1,87.5,0,458,38.21,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"139","OTU58",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,31.44,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"140","OTU59","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Phyllophaga","Phyllophaga morganellaASolis02",97.8,8,1,1,87.5,0,458,38.86,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"141","OTU61","Arthropoda","Insecta","Diptera","Phoridae",NA,NA,NA,97.08,7,1,1,85.71,0,446,35.2,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"142","OTU63","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,97.13,7,1,1,85.71,0,458,39.74,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"143","OTU62","Arthropoda","Insecta","Diptera","Phoridae","Metopininae","Metopina",NA,97.94,7,1,1,85.71,0,458,38.43,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"144","OTU67","Arthropoda","Insecta","Lepidoptera","Tineidae",NA,"tinBioLep01","tinBioLep01 BioLep5482",95.88,6,1,1,83.33,0,458,32.31,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"145","OTU69",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,457,31.51,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"146","OTU66",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,458,31.88,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"147","OTU65","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,91.41,6,1,1,83.33,0,458,40.39,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"148","OTU64",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,458,38.43,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"149","OTU68","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,6,1,1,83.33,0,458,39.52,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"150","OTU72",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,32.31,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"151","OTU73",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,33.41,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"152","OTU70","Arthropoda","Insecta","Coleoptera","Cerambycidae","Lamiinae","Lepturges","Lepturges limpidusAS1",95.62,5,1,1,80,0,458,32.31,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"153","OTU71","Arthropoda","Insecta","Lepidoptera","Pyralidae","Chrysauginae","Lophopleura","Lophopleura eurzonalis",93.65,5,1,1,80,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"154","OTU76","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA,NA,97.8,5,1,1,80,0,458,34.28,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"155","OTU77","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,95.59,5,1,1,80,0,459,40.74,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"156","OTU74","Arthropoda","Insecta","Coleoptera","Chelonariidae",NA,NA,NA,93.83,5,1,1,80,0,458,32.97,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"157","OTU75","Arthropoda","Insecta","Diptera","Sciaridae",NA,NA,NA,94.49,5,1,1,80,0,458,37.34,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"158","OTU78",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,27.95,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"159","OTU79",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep2)CCDB-S5-0338)CBGMB-00178.OTU"
"160","OTU1","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Trizogeniates","Trizogeniates foveicollis",97.59,513,8,8,98.44,0,457.91,38,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"161","OTU2","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Phyllophaga","Phyllophaga morganellaASolis02",97.99,301,25,25,91.69,0,419.54,38.51,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"162","OTU3",NA,NA,NA,NA,NA,NA,NA,0,293,7,1,97.61,85.71,457.73,33.43,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"163","OTU4","Arthropoda","Insecta","Hemiptera","Cicadidae","Cicadinae","Fidicina","Fidicina mannifera",97.81,224,8,8,96.43,0,457.92,32.29,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"164","OTU5","Arthropoda","Insecta","Lepidoptera","Erebidae","Calpinae","Herminodes","Herminodes Poole09",96.27,199,5,5,97.49,0,457.93,31.66,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"165","OTU6",NA,NA,NA,NA,NA,NA,NA,0,182,11,1,93.96,90.91,457.24,45.16,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"166","OTU7","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Callistethus","Callistethus schneideri",96.71,171,6,6,96.49,0,458.05,34.06,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"167","OTU8",NA,NA,NA,NA,NA,NA,NA,0,166,3,1,98.19,66.67,457.71,38.23,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"168","OTU9","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Callistethus","Callistethus sp",97.59,144,5,5,96.53,0,457.86,33.61,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"169","OTU10","Arthropoda","Insecta","Lepidoptera","Tineidae",NA,NA,NA,97.8,134,9,9,93.28,0,457,33.52,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"170","OTU11","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleocharinae",NA,NA,95.77,114,16,16,85.96,0,397.32,33.87,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"171","OTU12","Arthropoda","Insecta","Lepidoptera","Pyralidae","Chrysauginae","Lophopleura","Lophopleura eurzonalis",95.62,104,4,4,96.15,0,457.7,31.33,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"172","OTU13","Arthropoda","Insecta","Psocodea","Psocidae",NA,NA,NA,92.01,102,4,4,96.08,0,457.83,33.68,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"173","OTU14",NA,NA,NA,NA,NA,NA,NA,0,89,6,1,93.26,83.33,457.82,33.07,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"174","OTU15",NA,NA,NA,NA,NA,NA,NA,0,69,3,1,95.65,66.67,457.75,38.03,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"175","OTU16","Arthropoda","Insecta","Lepidoptera","Crambidae","Spilomelinae","Conchylodes","Conchylodes grammaphora",91.25,42,4,4,90.48,0,457.38,32.36,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"176","OTU17",NA,NA,NA,NA,NA,NA,NA,0,40,1,1,97.5,0,458,40.61,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"177","OTU18","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,"Catharina","Catharina sp.",90.59,39,4,4,89.74,0,458.28,31.37,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"178","OTU19","Arthropoda","Insecta","Lepidoptera","Depressariidae","Depressariinae","Gonada","Gonada cabima",96.93,34,4,4,88.24,0,456.97,32.17,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"179","OTU21",NA,NA,NA,NA,NA,NA,NA,0,34,4,1,88.24,75,457.85,34.12,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"180","OTU20","Arthropoda","Insecta","Lepidoptera","Depressariidae","Stenomatinae","Antaeotricha","Antaeotricha Janzen208",97.15,34,2,2,94.12,0,457.82,32.55,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"181","OTU23","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA,NA,92.32,33,2,2,93.94,0,457.36,27.85,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"182","OTU22","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Phyllophaga","Phyllophaga morganellaASolis02",97.8,33,3,3,90.91,0,457.7,38.78,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"183","OTU24",NA,NA,NA,NA,NA,NA,NA,0,32,2,1,93.75,50,458.16,37.98,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"184","OTU25","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontiinae","Chalenata","Chalenata Poole01",96.49,29,1,1,96.55,0,458,31.22,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"185","OTU26","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Dichomeridinae","Dichomeris","Dichomeris Janzen376",96.05,28,1,1,96.43,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"186","OTU27","Arthropoda","Insecta","Lepidoptera","Gelechiidae",NA,"geleBioLep01","geleBioLep01 BioLep4740",91.9,27,3,3,88.89,0,457.04,32.88,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"187","OTU28","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleocharinae",NA,NA,96.25,26,2,2,92.31,0,457.73,37.36,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"188","OTU30",NA,NA,NA,NA,NA,NA,NA,0,25,4,1,84,75,457.52,35.96,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"189","OTU29","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Galerucinae",NA,NA,91.47,25,2,2,92,0,457.64,33.65,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"190","OTU31",NA,NA,NA,NA,NA,NA,NA,0,24,2,1,91.67,50,457.67,33.87,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"191","OTU32","Arthropoda","Insecta","Lepidoptera","Tineidae",NA,"tinBioLep01","tinBioLep01 BioLep5482",95.88,21,1,1,95.24,0,458,32.31,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"192","OTU33",NA,NA,NA,NA,NA,NA,NA,0,21,2,1,90.48,50,457.67,33.87,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"193","OTU34","Arthropoda","Insecta","Psocodea","Psocidae",NA,NA,NA,97.93,20,1,1,95,0,458,33.84,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"194","OTU36",NA,NA,NA,NA,NA,NA,NA,0,19,2,1,89.47,50,458.26,31.42,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"195","OTU35",NA,NA,NA,NA,NA,NA,NA,0,19,2,1,89.47,50,457.74,28.84,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"196","OTU38","Arthropoda","Insecta","Lepidoptera","Limacodidae","Limacodinae","Natada","Natada kokiiDHJ01",97.81,18,2,2,88.89,0,457.67,32.12,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"197","OTU39","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,97.13,18,2,2,88.89,0,458.28,39.71,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"198","OTU37","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,90.81,18,2,2,88.89,0,458.28,29.96,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"199","OTU40",NA,NA,NA,NA,NA,NA,NA,0,16,1,1,93.75,0,458,27.95,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"200","OTU42","Arthropoda","Insecta","Coleoptera","Cerambycidae","Lamiinae","Lepturges","Lepturges limpidusAS1",95.62,15,1,1,93.33,0,458,32.31,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"201","OTU41","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA,NA,97.14,15,1,1,93.33,0,458,31.88,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"202","OTU45","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,95.81,14,1,1,92.86,0,458,40.61,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"203","OTU44","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Pelidnota","Pelidnota notata",96.49,14,2,2,85.71,0,457.43,39.57,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"204","OTU43","Arthropoda","Insecta","Lepidoptera","Tineidae",NA,NA,NA,95.38,14,2,2,85.71,0,457.64,31.03,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"205","OTU46","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,92.76,13,1,1,92.31,0,458,36.9,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"206","OTU47","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,12,1,1,91.67,0,458,39.52,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"207","OTU49",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,458,38.43,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"208","OTU48","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA,NA,97.8,11,1,1,90.91,0,458,34.28,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"209","OTU50","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctuinae","Spodoptera","Spodoptera pulchella",94.52,10,1,1,90,0,456,30.7,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"210","OTU51",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,34.06,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"211","OTU52",NA,NA,NA,NA,NA,NA,NA,0,10,2,1,80,50,457.5,32.57,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"212","OTU53",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,34.06,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"213","OTU54","Arthropoda","Insecta","Coleoptera","Tenebrionidae",NA,NA,NA,92.09,9,1,1,88.89,0,458,44.54,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"214","OTU55","Arthropoda","Insecta","Lepidoptera","Erebidae","Calpinae","Goniohelia","Goniohelia pangraptica",97.81,9,1,1,88.89,0,458,30.57,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"215","OTU56","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Phyllophaga","Phyllophaga chiriquina",94.97,9,1,1,88.89,0,458,39.74,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"216","OTU58","Arthropoda","Insecta","Lepidoptera","Nepticulidae",NA,NA,NA,97.35,8,1,1,87.5,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"217","OTU59",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,33.19,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"218","OTU57","Arthropoda","Insecta","Diptera","Phoridae",NA,NA,NA,97.08,8,1,1,87.5,0,446,35.2,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"219","OTU61","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontiinae","Nanamonodes","Nanamonodes sp.",93.65,7,1,1,85.71,0,458,30.35,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"220","OTU60",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,458,32.97,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"221","OTU63","Arthropoda","Insecta","Diptera","Sciaridae",NA,NA,NA,94.49,7,1,1,85.71,0,458,37.34,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"222","OTU62","Arthropoda","Insecta","Lepidoptera","Coleophoridae","Coleophorinae","Coleophora","Coleophora epijudaica",90.37,7,1,1,85.71,0,458,32.53,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"223","OTU64","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA,NA,92.07,7,1,1,85.71,0,458,26.2,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"224","OTU65","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,91.41,6,1,1,83.33,0,458,40.39,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"225","OTU67","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Phyllophaga","Phyllophaga sp",95.4,6,1,1,83.33,0,459,39.43,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"226","OTU66","Arthropoda","Insecta","Lepidoptera","Depressariidae","Stenomatinae","Stenoma",NA,97.58,6,1,1,83.33,0,458,34.06,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"227","OTU69",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,458,40.39,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"228","OTU68","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA,NA,90.11,6,1,1,83.33,0,458,27.07,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"229","OTU70",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,458,31.88,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"230","OTU83",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,34.93,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"231","OTU82","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophilinae","Drosophila","Drosophila bromeliae",90.17,5,1,1,80,0,458,31.66,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"232","OTU81","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,90.97,5,1,1,80,0,458,40.39,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"233","OTU80","Arthropoda","Insecta","Lepidoptera","Pyralidae","Chrysauginae","Lophopleura","Lophopleura eurzonalis",93.65,5,1,1,80,0,457,32.6,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"234","OTU87",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,37.55,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
"235","OTU86","Arthropoda","Insecta","Coleoptera","Mycteridae","Eurypinae",NA,NA,97.8,5,1,1,80,0,459,38.34,0,"MBR-CYB001.BIOLOT39864_Rep3)CCDB-S5-0338)CBGMB-00178.OTU"
